sample_name,source_image,input_json,feature_file,metadata_file,selfcheck_polygon_file,selfcheck_visual_file
1000,1000.png,1000_layer_polygons.json,features/1000_features.npz,metadata/1000_metadata.json,selfcheck_polygons/1000_reconstructed_from_sdf.json,selfcheck_visuals/1000_selfcheck_overlay.png
1001,1001.png,1001_layer_polygons.json,features/1001_features.npz,metadata/1001_metadata.json,selfcheck_polygons/1001_reconstructed_from_sdf.json,selfcheck_visuals/1001_selfcheck_overlay.png
1002,1002.png,1002_layer_polygons.json,features/1002_features.npz,metadata/1002_metadata.json,selfcheck_polygons/1002_reconstructed_from_sdf.json,selfcheck_visuals/1002_selfcheck_overlay.png
1003,1003.png,1003_layer_polygons.json,features/1003_features.npz,metadata/1003_metadata.json,selfcheck_polygons/1003_reconstructed_from_sdf.json,selfcheck_visuals/1003_selfcheck_overlay.png
1004,1004.png,1004_layer_polygons.json,features/1004_features.npz,metadata/1004_metadata.json,selfcheck_polygons/1004_reconstructed_from_sdf.json,selfcheck_visuals/1004_selfcheck_overlay.png
1005,1005.png,1005_layer_polygons.json,features/1005_features.npz,metadata/1005_metadata.json,selfcheck_polygons/1005_reconstructed_from_sdf.json,selfcheck_visuals/1005_selfcheck_overlay.png
1006,1006.png,1006_layer_polygons.json,features/1006_features.npz,metadata/1006_metadata.json,selfcheck_polygons/1006_reconstructed_from_sdf.json,selfcheck_visuals/1006_selfcheck_overlay.png
1007,1007.png,1007_layer_polygons.json,features/1007_features.npz,metadata/1007_metadata.json,selfcheck_polygons/1007_reconstructed_from_sdf.json,selfcheck_visuals/1007_selfcheck_overlay.png
1008,1008.png,1008_layer_polygons.json,features/1008_features.npz,metadata/1008_metadata.json,selfcheck_polygons/1008_reconstructed_from_sdf.json,selfcheck_visuals/1008_selfcheck_overlay.png
1009,1009.png,1009_layer_polygons.json,features/1009_features.npz,metadata/1009_metadata.json,selfcheck_polygons/1009_reconstructed_from_sdf.json,selfcheck_visuals/1009_selfcheck_overlay.png
100,100.png,100_layer_polygons.json,features/100_features.npz,metadata/100_metadata.json,selfcheck_polygons/100_reconstructed_from_sdf.json,selfcheck_visuals/100_selfcheck_overlay.png
1010,1010.png,1010_layer_polygons.json,features/1010_features.npz,metadata/1010_metadata.json,selfcheck_polygons/1010_reconstructed_from_sdf.json,selfcheck_visuals/1010_selfcheck_overlay.png
1011,1011.png,1011_layer_polygons.json,features/1011_features.npz,metadata/1011_metadata.json,selfcheck_polygons/1011_reconstructed_from_sdf.json,selfcheck_visuals/1011_selfcheck_overlay.png
1012,1012.png,1012_layer_polygons.json,features/1012_features.npz,metadata/1012_metadata.json,selfcheck_polygons/1012_reconstructed_from_sdf.json,selfcheck_visuals/1012_selfcheck_overlay.png
1013,1013.png,1013_layer_polygons.json,features/1013_features.npz,metadata/1013_metadata.json,selfcheck_polygons/1013_reconstructed_from_sdf.json,selfcheck_visuals/1013_selfcheck_overlay.png
1014,1014.png,1014_layer_polygons.json,features/1014_features.npz,metadata/1014_metadata.json,selfcheck_polygons/1014_reconstructed_from_sdf.json,selfcheck_visuals/1014_selfcheck_overlay.png
1015,1015.png,1015_layer_polygons.json,features/1015_features.npz,metadata/1015_metadata.json,selfcheck_polygons/1015_reconstructed_from_sdf.json,selfcheck_visuals/1015_selfcheck_overlay.png
1016,1016.png,1016_layer_polygons.json,features/1016_features.npz,metadata/1016_metadata.json,selfcheck_polygons/1016_reconstructed_from_sdf.json,selfcheck_visuals/1016_selfcheck_overlay.png
1017,1017.png,1017_layer_polygons.json,features/1017_features.npz,metadata/1017_metadata.json,selfcheck_polygons/1017_reconstructed_from_sdf.json,selfcheck_visuals/1017_selfcheck_overlay.png
1018,1018.png,1018_layer_polygons.json,features/1018_features.npz,metadata/1018_metadata.json,selfcheck_polygons/1018_reconstructed_from_sdf.json,selfcheck_visuals/1018_selfcheck_overlay.png
1019,1019.png,1019_layer_polygons.json,features/1019_features.npz,metadata/1019_metadata.json,selfcheck_polygons/1019_reconstructed_from_sdf.json,selfcheck_visuals/1019_selfcheck_overlay.png
101,101.png,101_layer_polygons.json,features/101_features.npz,metadata/101_metadata.json,selfcheck_polygons/101_reconstructed_from_sdf.json,selfcheck_visuals/101_selfcheck_overlay.png
1020,1020.png,1020_layer_polygons.json,features/1020_features.npz,metadata/1020_metadata.json,selfcheck_polygons/1020_reconstructed_from_sdf.json,selfcheck_visuals/1020_selfcheck_overlay.png
1021,1021.png,1021_layer_polygons.json,features/1021_features.npz,metadata/1021_metadata.json,selfcheck_polygons/1021_reconstructed_from_sdf.json,selfcheck_visuals/1021_selfcheck_overlay.png
1022,1022.png,1022_layer_polygons.json,features/1022_features.npz,metadata/1022_metadata.json,selfcheck_polygons/1022_reconstructed_from_sdf.json,selfcheck_visuals/1022_selfcheck_overlay.png
1023,1023.png,1023_layer_polygons.json,features/1023_features.npz,metadata/1023_metadata.json,selfcheck_polygons/1023_reconstructed_from_sdf.json,selfcheck_visuals/1023_selfcheck_overlay.png
1024,1024.png,1024_layer_polygons.json,features/1024_features.npz,metadata/1024_metadata.json,selfcheck_polygons/1024_reconstructed_from_sdf.json,selfcheck_visuals/1024_selfcheck_overlay.png
