sequence,model_type,latent_dim,run_name,status,started_at,finished_at,elapsed_seconds,elapsed_hhmmss,return_code,existing_run_action,note,log_file
1,vae,1,stageB_vae--latent_dim_1,completed,2026-06-09T20:25:34+08:00,2026-06-09T22:06:59+08:00,6084.8324636000325,01:41:25,0,archive,No existing run folder.,D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18B步骤处理_主模型1+\_batch_training_logs\batch_20260609_202534\logs\001_vae_latent_dim_1.log
2,vae,2,stageB_vae--latent_dim_2,completed,2026-06-09T22:06:59+08:00,2026-06-09T23:47:36+08:00,6037.3612974999705,01:40:37,0,archive,No existing run folder.,D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18B步骤处理_主模型1+\_batch_training_logs\batch_20260609_202534\logs\002_vae_latent_dim_2.log
3,vae,4,stageB_vae--latent_dim_4,completed,2026-06-09T23:47:36+08:00,2026-06-10T01:17:15+08:00,5379.345587400021,01:29:39,0,archive,No existing run folder.,D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18B步骤处理_主模型1+\_batch_training_logs\batch_20260609_202534\logs\003_vae_latent_dim_4.log
4,vae,8,stageB_vae--latent_dim_8,completed,2026-06-10T01:17:15+08:00,2026-06-10T04:17:07+08:00,10791.551756599976,02:59:52,0,archive,No existing run folder.,D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18B步骤处理_主模型1+\_batch_training_logs\batch_20260609_202534\logs\004_vae_latent_dim_8.log
5,vae,16,stageB_vae--latent_dim_16,completed,2026-06-10T04:17:07+08:00,2026-06-10T09:05:45+08:00,17318.222496400005,04:48:38,0,archive,No existing run folder.,D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18B步骤处理_主模型1+\_batch_training_logs\batch_20260609_202534\logs\005_vae_latent_dim_16.log
6,vae,32,stageB_vae--latent_dim_32,completed,2026-06-10T09:05:45+08:00,2026-06-10T12:43:56+08:00,13090.640644399973,03:38:11,0,archive,No existing run folder.,D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18B步骤处理_主模型1+\_batch_training_logs\batch_20260609_202534\logs\006_vae_latent_dim_32.log
7,vae,64,stageB_vae--latent_dim_64,completed,2026-06-10T12:43:56+08:00,2026-06-10T17:34:10+08:00,17413.991028999968,04:50:14,0,archive,No existing run folder.,D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18B步骤处理_主模型1+\_batch_training_logs\batch_20260609_202534\logs\007_vae_latent_dim_64.log
8,vae,128,stageB_vae--latent_dim_128,completed,2026-06-10T17:34:10+08:00,2026-06-10T21:27:08+08:00,13977.085936399992,03:52:57,0,archive,No existing run folder.,D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18B步骤处理_主模型1+\_batch_training_logs\batch_20260609_202534\logs\008_vae_latent_dim_128.log
9,vae,256,stageB_vae--latent_dim_256,completed,2026-06-10T21:27:08+08:00,2026-06-10T23:06:57+08:00,5989.342559199955,01:39:49,0,archive,No existing run folder.,D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18B步骤处理_主模型1+\_batch_training_logs\batch_20260609_202534\logs\009_vae_latent_dim_256.log
10,vae,512,stageB_vae--latent_dim_512,completed,2026-06-10T23:06:57+08:00,2026-06-11T00:35:25+08:00,5307.567327399971,01:28:28,0,archive,No existing run folder.,D:\博士期间发表论文\辰轩-秀如-其宁_合著论文\★3.18数据预处理\★3.18B步骤处理_主模型1+\_batch_training_logs\batch_20260609_202534\logs\010_vae_latent_dim_512.log
