epoch,train_total_loss,train_sdf_loss,train_corner_loss,train_mask_loss,train_sep_loss,train_consistency_loss,train_kl_loss,val_total_loss,val_sdf_loss,val_corner_loss,val_mask_loss,val_sep_loss,val_consistency_loss,val_kl_loss,val_mean_mask_iou,val_mean_mask_dice,val_mean_area_relative_error,val_mean_centroid_distance_normalized,val_mean_boundary_chamfer_normalized,val_mean_boundary_hausdorff_normalized,val_mean_polygon_count_abs_diff,train_time_seconds,validation_time_seconds,epoch_compute_time_seconds,epoch_time_seconds,cumulative_compute_time_seconds,decoder_learning_rate,latent_learning_rate_current,validation_selection_score,no_improve_count,learning_rate_after_scheduler
1,0.3172400596862038,0.17820129776373506,0.13646068464731798,0.43456669269750514,0.334444436749133,0.05800273447190799,52.10926665266355,0.15001284790535768,0.09616578208903472,0.013725723527992765,0.22311365803082783,0.013168975656541685,0.004495027185960983,55.95987205505371,0.0,0.0,1.0,1.0,1.0,1.0,1.0305555555555554,36.82194230001187,6.410653800005093,43.23259610001696,43.23259610001696,43.23259610001696,5e-05,nan,3.0,0,5e-05
2,0.14304908011108636,0.09287111886466543,0.006670803362309622,0.2179531117901206,0.011631883778803361,0.003941899899897786,44.74488256772359,0.12388284653425216,0.07741853545109431,0.004484697225658844,0.20396363933881123,0.01157594892817239,0.003951444432217007,39.98273541132609,0.0,0.0,1.0,1.0,1.0,1.0,1.0305555555555554,36.70841209997889,6.478940999950282,43.18735309992917,43.18735309992917,86.41994919994613,5e-05,nan,3.0,1,5e-05
3,0.12223737572009365,0.076929864504685,0.004761453363365338,0.1973694191003839,0.014365418365923689,0.004731912826052091,39.2646937529246,0.10575306496272484,0.0628042719947795,0.006100507542335739,0.180552755544583,0.020596566936001183,0.006616954633500427,42.574634138743086,0.0,0.0,1.0,1.0,1.0,1.0,1.0305555555555554,36.88441739999689,6.399177600047551,43.28359500004444,43.28359500004444,129.70354419999057,5e-05,nan,3.0,2,5e-05
4,0.10349806199471155,0.061804386073102555,0.0048515716165032545,0.1759461445113023,0.01791003901938287,0.005399170782766305,43.68670805295309,0.10126148623724779,0.058752572163939476,0.011122085604195793,0.1657929852604866,0.043325137346982956,0.010174745204858482,44.50905672709147,0.0,0.0,1.0,1.0,1.0,1.0,1.0305555555555554,37.66905860003317,6.419132699957117,44.088191299990285,44.088191299990285,173.79173549998086,5e-05,nan,3.0,3,5e-05
5,0.09016266219938794,0.050646084391822416,0.005730569884569074,0.16135726751138765,0.025146423132779698,0.005974398027562226,45.429688151677446,0.09129996566722791,0.049196246545761824,0.014724110346287489,0.15512785725295544,0.06248912323887149,0.012155037776877483,44.011164315541585,0.21063630461893185,0.28643399899208505,0.5168263413861107,0.3749800745309821,0.3568147252236783,0.4040151237678696,0.6444444444444445,37.16026319999946,7.207781899953261,44.368045099952724,44.368045099952724,218.15978059993358,5e-05,nan,1.550193544372616,0,5e-05
6,0.07838259677713116,0.04098102125960092,0.004834251114031455,0.15207139663398267,0.027133187991178906,0.006903946925497924,43.18588930765788,0.08554476400216421,0.04429838961611191,0.013418067246675491,0.14946155038972694,0.06867608061681191,0.020675586676225065,42.028677972157794,0.2314310080812696,0.33155369071113755,0.8715425148060646,0.3669286346798529,0.35650370778686236,0.40397275898502955,0.39444444444444443,36.888185299991164,7.401977400004398,44.29016269999556,44.29016269999556,262.44994329992915,5e-05,nan,1.5290454586906224,0,5e-05
7,0.06884880806319416,0.03274732478118191,0.004117132498746893,0.14552763144796094,0.030419113021343945,0.008923009988696625,42.05423911412557,0.09254588168114423,0.048260210050890845,0.018824537727050485,0.15468166793386143,0.09603650271892547,0.019467140237490337,38.092483075459796,0.27848650566998845,0.38975303551454915,0.9502597062563496,0.3360405689660643,0.33267787857369463,0.3841882449006421,0.3888888888888889,37.98553179996088,7.533903600007761,45.51943539996864,45.51943539996864,307.9693786998978,5e-05,nan,1.4383796178043484,0,5e-05
8,0.060012630186975,0.025760675338096915,0.0036728375809616408,0.13716226642330487,0.032651903336712466,0.010278597842746725,39.38408617973327,0.07149982138847312,0.03270139756302039,0.012595970750165482,0.14091425513227782,0.07379721580073237,0.016810193254301945,35.6600787003835,0.2796946227924554,0.4042321112667937,0.7351295545307274,0.03593888517806079,0.03521162079008145,0.12917744867849576,0.586111111111111,37.04321249999339,7.531134199991357,44.574346699984744,44.574346699984744,352.54372539988253,5e-05,nan,0.8846944466761218,0,5e-05
9,0.052750796700517334,0.02102410759155949,0.003003454155017001,0.12611253013213475,0.03044529086910188,0.011014023093351474,38.30526151657104,0.06157762560372551,0.026679673542579014,0.008293672061214844,0.13113433917363485,0.05323476394017537,0.017145508364774287,34.93335712750753,0.437680034861232,0.5914882966085476,0.4028066348758768,0.02999952889772314,0.024464556668304552,0.0783623339621113,0.15555555555555553,36.827472700038925,7.973933800007217,44.80140650004614,44.80140650004614,397.3451318999287,5e-05,nan,0.6651468557691839,0,5e-05
10,0.04655031189322471,0.018310264172032475,0.001685379271172375,0.11238495170449217,0.02376715710852295,0.010638892041364064,37.05678906440735,0.06165091479197145,0.02942406991496682,0.0032650601875502615,0.1271458432699243,0.03687625123808781,0.015700093284249306,35.15847164789836,0.42384082758435615,0.5807590776255002,0.4953217255198314,0.031945329449204356,0.026285724118095613,0.07716820664982635,0.11388888888888887,37.47365679999348,8.174731200037058,45.648388000030536,45.648388000030536,442.9935198999592,5e-05,nan,0.6796131031835658,1,5e-05
